movie_id,real_budget,real_revenue,real_profit,is_profitable,is_sequel,is_blockbuster_season,runtime,star,director,writer,rating,country,vote_count,score,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,theme_agent,theme_american,theme_brother,theme_car,theme_city,theme_daughter,theme_death,theme_director,theme_drug,theme_family,theme_father,theme_finds,theme_friend,theme_friends,theme_help,theme_high,theme_love,theme_mother,theme_murder,theme_old,theme_police,theme_relationship,theme_school,theme_secret,theme_son,theme_town,theme_true,theme_war,theme_wife,theme_years
1492: conquest of paradise,105088382.03848895,16079414.585174626,-89008967.45331433,0,0,0,154.0,Gérard Depardieu,Ridley Scott,Rose Bosch,PG-13,United Kingdom,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 minutes,106278938.4528515,99831314.09373236,-6447624.359119147,0,0,0,120.0,Robert De Niro,John Herzfeld,John Herzfeld,R,United States,786.0,5.907,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
16 blocks,80914682.53968254,102177693.34176587,21263010.80208333,1,0,0,102.0,Bruce Willis,Richard Donner,Richard Wenk,PG-13,United States,2061.0,6.447,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
17 again,29249417.24941725,199359465.06293705,170110047.8135198,1,0,0,102.0,Zac Efron,Burr Steers,Jason Filardi,PG-13,United States,5369.0,6.313,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,1
1917,115152627.51159196,466214902.3659196,351062274.8543276,1,0,0,119.0,Dean-Charles Chapman,Sam Mendes,Sam Mendes,R,United States,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,18562130.17751479,15854740.073541842,-2707390.103972949,0,0,0,95.0,Robert Downey Jr.,Ernest Thompson,Ernest Thompson,R,United States,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 fast 2 furious,129571739.13043478,402952186.7157608,273380447.5853261,1,1,0,107.0,Paul Walker,John Singleton,Gary Scott Thompson,PG-13,United States,8038.0,6.515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2 guns,82127467.8111588,178382226.63304722,96254758.82188842,1,0,0,109.0,Denzel Washington,Baltasar Kormákur,Blake Masters,R,United States,2368.0,6.541,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200 cigarettes,11297719.087635055,12902842.527010806,1605123.4393757507,1,0,0,101.0,Ben Affleck,Risa Bramon Garcia,Shana Larsen,R,United States,176.0,5.793,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010: the year we make contact,84538979.78825794,121979654.48411934,37440674.6958614,1,0,0,116.0,Roy Scheider,Peter Hyams,Arthur C. Clarke,PG,United States,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
